0 0 0
0 0 0
0 1 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 1
0 0 1
0 2 3
0 0 0
0 6 1
0 3 2
0 3 2
0 13 4
0 8 5
1 12 6
1 17 7
0 29 11
0 32 14
3 42 17
0 53 25
1 73 39
5 76 49
6 97 63
8 125 53
10 202 79
14 198 92
19 242 117
23 287 134
35 328 155
39 317 178
55 354 182
57 384 204
61 406 219
89 432 250
99 372 264
125 385 247
178 367 251
194 329 339
248 356 311
242 364 362
282 352 371
312 334 401
307 374 393
335 338 427
334 405 427
360 372 424
390 387 404
386 444 401
346 416 468
343 428 468
348 374 468
362 394 499
337 387 524
363 375 478
307 339 531
345 370 505
328 369 481
318 330 495
359 319 466
324 316 472
322 307 486
338 318 436
324 304 435
321 314 431
321 278 442
268 280 396
269 289 361
271 310 360
269 272 349
253 268 317
250 235 303
228 259 288
233 256 279
264 243 261
255 241 276
263 220 259
238 238 245
229 221 299
252 206 257
244 209 285
232 205 271
261 217 243
245 223 256
248 194 248
238 188 241
215 170 261
245 179 230
247 158 214
231 158 235
207 151 218
218 175 216
230 168 206
230 159 197
225 131 188
215 160 170
218 173 154
205 161 137
189 162 140
174 122 139
179 139 131
186 141 138
179 145 134
140 138 133
182 120 129
161 118 108
185 120 107
175 96 107
165 99 89
172 116 113
169 107 92
145 91 89
158 83 75
160 93 75
159 83 80
149 95 75
124 83 91
148 62 84
162 81 66
144 100 75
162 82 69
134 76 64
123 58 71
141 78 60
165 85 56
142 75 60
156 73 55
117 80 57
138 79 54
107 86 62
148 66 57
111 72 63
143 66 59
97 56 54
115 65 49
121 64 53
119 70 61
111 88 53
115 53 63
101 54 52
87 61 52
106 60 73
104 70 44
96 48 67
109 52 51
92 60 49
73 78 54
82 56 57
79 46 56
88 57 52
102 58 64
84 70 50
88 51 57
86 56 63
84 41 46
78 56 53
79 54 50
79 59 60
88 46 54
67 54 45
69 53 53
76 51 46
71 50 36
60 57 45
70 48 47
67 64 40
55 55 42
66 52 48
59 59 59
70 57 41
64 42 46
55 31 27
78 45 36
68 43 48
75 50 54
63 41 31
59 40 38
64 35 33
72 56 36
67 45 42
68 40 45
52 61 39
64 62 38
68 69 40
62 65 47
77 46 37
81 65 53
56 47 44
65 60 32
69 60 40
72 75 36
66 61 55
68 64 37
62 61 38
63 69 37
75 77 41
67 81 53
64 64 46
59 64 57
61 65 58
58 76 56
78 66 56
64 51 43
62 78 59
55 54 66
66 73 51
47 57 56
71 79 62
67 84 71
74 87 70
62 66 47
100 59 47
104 63 61
112 70 48
122 70 59
120 79 45
112 77 40
125 79 54
115 93 54
104 98 60
109 100 51
113 105 57
97 98 65
100 110 52
122 100 51
122 93 41
95 79 40
89 70 39
71 53 31
74 40 27
52 32 28
65 20 24
43 19 23
30 27 19
26 11 12
17 8 10
18 7 5
19 2 4
12 2 3
5 2 2
8 0 0
3 1 4
1 1 1
0 0 2
1 0 0
0 1 0
0 0 2
0 1 1
0 0 0
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
